# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
181 7.541666666666664e-10 3.861446365943308e-18 9.901144528059765e-05 2.475286132014941e-04 4.483727529178796e-04 9.901144528059764e-17
182 7.583333333333331e-10 3.867325913439214e-18 9.916220290869780e-05 2.479055072717445e-04 4.492216307673741e-04 9.916220290869781e-17
183 7.624999999999997e-10 3.873139291344572e-18 9.931126388063005e-05 2.482781597015751e-04 4.500610794964213e-04 9.931126388063004e-17
184 7.666666666666664e-10 3.878887249360423e-18 9.945864741949804e-05 2.486466185487451e-04 4.508912017266359e-04 9.945864741949804e-17
185 7.708333333333331e-10 3.884570528318426e-18 9.960437252098529e-05 2.490109313024632e-04 4.517120990101181e-04 9.960437252098530e-17
186 7.749999999999997e-10 3.890189860616794e-18 9.974845796453318e-05 2.493711449113330e-04 4.525238719293731e-04 9.974845796453318e-17
187 7.791666666666664e-10 3.895745970248985e-18 9.989092231407655e-05 2.497273057851914e-04 4.533266199603841e-04 9.989092231407654e-17
188 7.833333333333331e-10 3.901239572774833e-18 1.000317839173034e-04 2.500794597932586e-04 4.541204416280430e-04 1.000317839173034e-16
189 7.874999999999997e-10 3.906671375545739e-18 1.001710609114292e-04 2.504276522785730e-04 4.549054344173327e-04 1.001710609114292e-16
190 7.916666666666664e-10 3.912042077756663e-18 1.003087712245298e-04 2.507719280613246e-04 4.556816947807287e-04 1.003087712245298e-16
191 7.958333333333330e-10 3.917352370607849e-18 1.004449325796885e-04 2.511123314492212e-04 4.564493182455212e-04 1.004449325796885e-16
192 7.999999999999997e-10 3.922602937324443e-18 1.005795624954985e-04 2.514489062387464e-04 4.572083993101929e-04 1.005795624954985e-16
193 8.041666666666664e-10 3.927794453214585e-18 1.007126782875535e-04 2.517816957188837e-04 4.579590314592237e-04 1.007126782875535e-16
194 8.083333333333330e-10 3.932927585934948e-18 1.008442970752551e-04 2.521107426881377e-04 4.587013072852133e-04 1.008442970752551e-16
195 8.124999999999997e-10 3.938002995382666e-18 1.009744357790427e-04 2.524360894476069e-04 4.594353183223497e-04 1.009744357790427e-16
196 8.166666666666663e-10 3.943021333931082e-18 1.011031111264380e-04 2.527577778160951e-04 4.601611552388465e-04 1.011031111264380e-16
197 8.208333333333330e-10 3.947983246455646e-18 1.012303396527089e-04 2.530758491317722e-04 4.608789076963150e-04 1.012303396527089e-16
